,Query,GWAS Trait,RS Number,Position (GRCh38),Alleles,R2,D',Risk Allele,Effect Size (95% CI),Beta or OR,P-value,{
12,rs2290400,COVID-19 hospitalization or rheumatoid arthritis (MTAG),rs9909593,chr17:39813896,"A=0.517, G=0.483",0.8061913787531135,0.945527398743773,NR,,,1e-16,
13,rs2290400,Primary biliary cholangitis,rs9303277,chr17:39820216,"C=0.484, T=0.516",0.9183765140044028,0.9717578927104724,NR,1.44,1.28-1.63,4e-09,
14,rs2290400,Primary biliary cholangitis,rs9303277,chr17:39820216,"C=0.484, T=0.516",0.9183765140044028,0.9717578927104724,0.51,1.38,,2e-09,
15,rs2290400,Primary biliary cholangitis,rs9303277,chr17:39820216,"C=0.484, T=0.516",0.9183765140044028,0.9717578927104724,0.5,1.2345678999999998,,3e-11,
16,rs2290400,Asthma and cardiovascular disease,rs9303277,chr17:39820216,"C=0.484, T=0.516",0.9183765140044028,0.9717578927104724,NR,,,1e-41,
17,rs2290400,Systemic lupus erythematosus and Systemic sclerosis,rs9303277,chr17:39820216,"C=0.484, T=0.516",0.9183765140044028,0.9717578927104724,NR,1.1909999999999998,,7.000000000000001e-06,
18,rs2290400,Primary biliary cholangitis,rs9303277,chr17:39820216,"C=0.484, T=0.516",0.9183765140044028,0.9717578927104724,0.308489304812834,1.4342518999999998,1.286-1.599,8.000000000000001e-11,
19,rs2290400,Lymphocyte count,rs9303277,chr17:39820216,"C=0.484, T=0.516",0.9183765140044028,0.9717578927104724,NR,0.03377,0.022-0.046,2e-08,
20,rs2290400,Lymphocyte count,rs12944882,chr17:39827239,"C=0.544, T=0.456",0.8475037099901837,0.987157883986928,0.268117,0.031232799999999998,0.021-0.041,5e-10,
21,rs2290400,Asthma and cardiovascular disease,rs3816470,chr17:39829548,"A=0.457, G=0.543",0.8436058802540826,0.982914402173913,NR,,,2.9999999999999996e-39,
22,rs2290400,Lymphocyte count,rs3816470,chr17:39829548,"A=0.457, G=0.543",0.8436058802540826,0.982914402173913,0.722144,0.033246,0.023-0.044,8e-10,
23,rs2290400,Selective IgA deficiency,rs8071789,chr17:39850080,"C=0.482, T=0.518",0.9338053125224562,0.9837951030927836,NR,1.2345678999999998,,7e-07,
24,rs2290400,Asthma,rs11655198,chr17:39869916,"C=0.492, T=0.508",0.9258630761311908,0.9641331991728532,NR,1.1806375,1.16-1.2,9.999999999999998e-64,
25,rs2290400,Asthma and cardiovascular disease,rs11557467,chr17:39872381,"G=0.492, T=0.508",0.9258630761311908,0.9641331991728532,NR,,,4e-30,
26,rs2290400,Atrial fibrillation,rs11658278,chr17:39874911,"C=0.508, T=0.492",0.9182248703016322,0.960147999080948,0.479,1.05,1.03-1.06,3e-11,
27,rs2290400,Atrial fibrillation,rs11658278,chr17:39874911,"C=0.508, T=0.492",0.9182248703016322,0.960147999080948,0.52,1.03,1.02-1.05,3e-06,
28,rs2290400,Asthma (childhood onset),rs9901146,chr17:39887090,"A=0.508, G=0.492",0.9258630761311908,0.9641331991728532,0.51,1.18,,7.999999999999999e-99,
29,rs2290400,Asthma (age of onset),rs9901146,chr17:39887090,"A=0.508, G=0.492",0.9258630761311908,0.9641331991728532,0.51,,,4e-57,
30,rs2290400,Asthma (time to onset),rs9901146,chr17:39887090,"A=0.508, G=0.492",0.9258630761311908,0.9641331991728532,0.51,1.18,1.13-1.22,2e-16,
31,rs2290400,Eosinophil counts,rs9901146,chr17:39887090,"A=0.508, G=0.492",0.9258630761311908,0.9641331991728532,0.618121,0.080604,0.054-0.107,3e-09,
32,rs2290400,Asthma and cardiovascular disease,rs9901146,chr17:39887090,"A=0.508, G=0.492",0.9258630761311908,0.9641331991728532,NR,,,2e-41,
33,rs2290400,Highest math class taken (MTAG),rs9906951,chr17:39891991,"C=0.508, T=0.492",0.9258630761311908,0.9641331991728532,0.5097,0.0106,0.0075-0.0137,2e-10,
34,rs2290400,Asthma and cardiovascular disease,rs12950743,chr17:39892980,"C=0.508, T=0.492",0.9258630761311908,0.9641331991728532,NR,,,2e-41,
35,rs2290400,Hay fever and/or eczema,rs7359623,chr17:39893336,"C=0.494, T=0.506",0.9182596123578566,0.9639922687177366,0.4857,1.05,1.038-1.062,2e-16,
36,rs2290400,Asthma and cardiovascular disease,rs7359623,chr17:39893336,"C=0.494, T=0.506",0.9182596123578566,0.9639922687177366,NR,,,3e-38,
37,rs2290400,Atrial fibrillation (MTAG),rs7359623,chr17:39893336,"C=0.494, T=0.506",0.9182596123578566,0.9639922687177366,NR,0.009000000000000001,0.007-0.011,2e-10,
38,rs2290400,JT interval,rs7359623,chr17:39893336,"C=0.494, T=0.506",0.9182596123578566,0.9639922687177366,0.5062,0.0223,0.016-0.028,1e-12,
39,rs2290400,Atrial fibrillation,rs7359623,chr17:39893336,"C=0.494, T=0.506",0.9182596123578566,0.9639922687177366,0.4915,0.0451,0.034-0.057,1e-14,
40,rs2290400,Cervical cancer,rs8067378,chr17:39895095,"A=0.485, G=0.515",0.95296630724553,0.9879210425204918,0.28,1.22,,3e-06,
41,rs2290400,Asthma and cardiovascular disease,rs8067378,chr17:39895095,"A=0.485, G=0.515",0.95296630724553,0.9879210425204918,NR,,,3e-41,
42,rs2290400,Cervical cancer,rs8067378,chr17:39895095,"A=0.485, G=0.515",0.95296630724553,0.9879210425204918,0.22,1.19,1.13-1.26,9e-10,
43,rs2290400,Primary biliary cirrhosis,rs8067378,chr17:39895095,"A=0.485, G=0.515",0.95296630724553,0.9879210425204918,0.52,1.26,1.19-1.34,6e-14,
44,rs2290400,Type 1 diabetes,rs12453507,chr17:39896954,"C=0.502, G=0.498",0.9263282260813084,0.9837410199843228,0.51,1.1111111999999999,,1e-08,
45,rs2290400,IgM levels,rs11651596,chr17:39899863,"C=0.467, T=0.533",0.8169664670171143,0.9826686191747782,0.4839,0.09,,2e-14,
46,rs2290400,Asthma (childhood onset),rs11651596,chr17:39899863,"C=0.467, T=0.533",0.8169664670171143,0.9826686191747782,NR,,,1.9999999999999994e-124,
47,rs2290400,COVID-19 infection or rheumatoid arthritis (MTAG),rs11651596,chr17:39899863,"C=0.467, T=0.533",0.8169664670171143,0.9826686191747782,NR,,,9e-10,
48,rs2290400,Asthma and cardiovascular disease,rs8069176,chr17:39900944,"A=0.468, G=0.532",0.8130941139598551,0.9783817702020852,NR,,,4e-37,
49,rs2290400,Fractional exhaled nitric oxide (childhood),rs8069176,chr17:39900944,"A=0.468, G=0.532",0.8130941139598551,0.9783817702020852,0.45,0.066,0.039-0.093,5e-06,
50,rs2290400,Fractional exhaled nitric oxide (childhood),rs8069176,chr17:39900944,"A=0.468, G=0.532",0.8130941139598551,0.9783817702020852,0.43,0.066,0.042-0.09,2e-08,
51,rs2290400,Asthma (childhood onset),rs8069176,chr17:39900944,"A=0.468, G=0.532",0.8130941139598551,0.9783817702020852,NR,1.25,1.2-1.3,4e-26,
52,rs2290400,Nonatopic asthma,rs8069176,chr17:39900944,"A=0.468, G=0.532",0.8130941139598551,0.9783817702020852,NR,,,2.9999999999999997e-29,
53,rs2290400,Asthma (childhood onset),rs4795399,chr17:39905186,"C=0.466, T=0.534",0.8208555677725605,0.9869737489533248,0.529,1.406,1.365-1.448,9.999999999999997e-112,
54,rs2290400,Asthma (age of onset),rs4795399,chr17:39905186,"C=0.466, T=0.534",0.8208555677725605,0.9869737489533248,0.529,2.286,2.02-2.55,6.999999999999998e-65,
55,rs2290400,Asthma (childhood onset),rs4795399,chr17:39905186,"C=0.466, T=0.534",0.8208555677725605,0.9869737489533248,NR,1.2890000000000001,1.28-1.3,9.999999999999996e-258,
56,rs2290400,Asthma,rs4795399,chr17:39905186,"C=0.466, T=0.534",0.8208555677725605,0.9869737489533248,NR,1.101,1.09-1.11,1e-45,
57,rs2290400,Asthma onset (childhood vs adult),rs4795399,chr17:39905186,"C=0.466, T=0.534",0.8208555677725605,0.9869737489533248,0.528,1.2570000000000001,1.24-1.28,4.999999999999999e-64,
58,rs2290400,Age of onset of childhood onset asthma,rs4795399,chr17:39905186,"C=0.466, T=0.534",0.8208555677725605,0.9869737489533248,NR,0.2719,0.25-0.29,3.999999999999999e-146,
59,rs2290400,Ulcerative colitis,rs2305480,chr17:39905943,"A=0.466, G=0.534",0.8208555677725605,0.9869737489533248,NR,1.25,,3e-08,
60,rs2290400,Asthma (childhood onset),rs2305480,chr17:39905943,"A=0.466, G=0.534",0.8208555677725605,0.9869737489533248,0.6,1.32,1.23-1.39,6e-23,
61,rs2290400,Asthma,rs2305480,chr17:39905943,"A=0.466, G=0.534",0.8208555677725605,0.9869737489533248,0.55,1.18,1.11-1.23,1e-07,
62,rs2290400,Asthma and cardiovascular disease,rs2305480,chr17:39905943,"A=0.466, G=0.534",0.8208555677725605,0.9869737489533248,NR,,,5e-37,
63,rs2290400,Rheumatoid arthritis,rs2305480,chr17:39905943,"A=0.466, G=0.534",0.8208555677725605,0.9869737489533248,NR,,,4e-09,
64,rs2290400,Asthma,rs2305479,chr17:39905964,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,0.489,,,2e-48,
65,rs2290400,Asthma and cardiovascular disease,rs2305479,chr17:39905964,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,NR,,,7e-44,
66,rs2290400,Asthma,rs2305479,chr17:39905964,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,0.51,0.23,0.19-0.27,2.9999999999999996e-24,
67,rs2290400,Asthma,rs2305479,chr17:39905964,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,0.503575,1.1115996000000001,1.09857261213927-1.12478100946316,2.9999999999999994e-69,
68,rs2290400,Asthma,rs2305479,chr17:39905964,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,0.5,,,7.999999999999999e-112,
69,rs2290400,"Medication use (adrenergics, inhalants)",rs2305479,chr17:39905964,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,NR,0.0788,0.063-0.095,2.0000000000000002e-21,
70,rs2290400,Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive),rs56750287,chr17:39906691,"-=0.535, C=0.465",0.817536729017621,0.9869459150835668,NR,1.0840456,1.05946961678827-1.10919172967994,5.0000000000000005e-12,
71,rs2290400,Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive),rs56750287,chr17:39906691,"-=0.535, C=0.465",0.817536729017621,0.9869459150835668,0.4662,1.0839372999999999,1.05521917420373-1.11343686508492,4e-09,
72,rs2290400,Rheumatoid arthritis,rs56750287,chr17:39906691,"-=0.535, C=0.465",0.817536729017621,0.9869459150835668,NR,1.0764837999999999,1.05497004267826-1.09843630664037,6.999999999999999e-13,
73,rs2290400,Rheumatoid arthritis,rs56750287,chr17:39906691,"-=0.535, C=0.465",0.817536729017621,0.9869459150835668,0.4662,1.0783154,1.05201192919983-1.10527651800773,2e-09,
74,rs2290400,Asthma and cardiovascular disease,rs11078926,chr17:39906723,"A=0.465, G=0.535",0.817536729017621,0.9869459150835668,NR,,,2.0000000000000002e-29,
75,rs2290400,Systemic sclerosis,rs883770,chr17:39907128,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,0.5,1.13,,5e-09,
76,rs2290400,Asthma (childhood onset),rs62067034,chr17:39907485,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,NR,0.171,0.098-0.244,3e-06,
77,rs2290400,Asthma (childhood onset),rs62067034,chr17:39907485,"C=0.498, T=0.502",0.9491583656853528,0.9879023529883352,NR,,,5e-06,
78,rs2290400,Asthma and cardiovascular disease,rs11078927,chr17:39908152,"C=0.535, T=0.465",0.817536729017621,0.9869459150835668,NR,,,5.999999999999999e-37,
79,rs2290400,Asthma,rs11078927,chr17:39908152,"C=0.535, T=0.465",0.817536729017621,0.9869459150835668,NR,,,2e-16,
80,rs2290400,Asthma,rs11078927,chr17:39908152,"C=0.535, T=0.465",0.817536729017621,0.9869459150835668,0.57,1.52,,1e-12,
81,rs2290400,Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive),rs11078928,chr17:39908216,"C=0.465, T=0.535",0.817536729017621,0.9869459150835668,0.457,1.07,,1e-07,
82,rs2290400,Type 1 diabetes,rs2290400,chr17:39909987,"C=0.509, T=0.491",1.0,1.0,0.50,1.15,1.08-1.22,6e-13,
83,rs2290400,Asthma and cardiovascular disease,rs2290400,chr17:39909987,"C=0.509, T=0.491",1.0,1.0,NR,,,7e-44,
84,rs2290400,Bronchial hyperresponsiveness in asthma,rs2290400,chr17:39909987,"C=0.509, T=0.491",1.0,1.0,NR,1.34,,2.9999999999999997e-20,
85,rs2290400,Acute lymphoblastic leukemia (childhood),rs2290400,chr17:39909987,"C=0.509, T=0.491",1.0,1.0,NR,1.17,1.11-1.23,1e-09,
86,rs2290400,Asthma,rs1008723,chr17:39910014,"G=0.499, T=0.501",0.968687749003984,1.0,0.488661,1.1076171000000001,1.1-1.12,2e-62,
87,rs2290400,Dermatomyositis or juvenile dermatomyositis,rs1008723,chr17:39910014,"G=0.499, T=0.501",0.968687749003984,1.0,NR,1.2,1.11–1.30,9e-06,
88,rs2290400,Asthma,rs1008723,chr17:39910014,"G=0.499, T=0.501",0.968687749003984,1.0,0.48901,1.1136973999999997,1.1-1.12,1e-65,
89,rs2290400,Asthma and cardiovascular disease,rs1008723,chr17:39910014,"G=0.499, T=0.501",0.968687749003984,1.0,NR,,,5e-43,
90,rs2290400,Atrial fibrillation/atrial flutter,rs1008723,chr17:39910014,"G=0.499, T=0.501",0.968687749003984,1.0,NR,0.0544,0.036-0.073,9e-09,
91,rs2290400,Asthma,rs1008723,chr17:39910014,"G=0.499, T=0.501",0.968687749003984,1.0,NR,0.19837083,,2e-09,
92,rs2290400,Type 1 diabetes,rs56380902,chr17:39910119,"C=0.508, T=0.492",0.9960306186868688,1.0,0.44,1.35,1.22–1.50,1e-08,
93,rs2290400,Atopic asthma,rs56380902,chr17:39910119,"C=0.508, T=0.492",0.9960306186868688,1.0,NR,,,5.999999999999999e-39,
94,rs2290400,Allergy,rs4795400,chr17:39910767,"C=0.533, T=0.467",0.8314388823792785,0.9913343095873892,NR,1.0626993,1.05-1.08,3e-15,
95,rs2290400,Asthma and cardiovascular disease,rs4795400,chr17:39910767,"C=0.533, T=0.467",0.8314388823792785,0.9913343095873892,NR,,,2e-36,
96,rs2290400,"Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis)",rs4795400,chr17:39910767,"C=0.533, T=0.467",0.8314388823792785,0.9913343095873892,0.541,0.051,0.043-0.059,7.0000000000000006e-34,
97,rs2290400,"Allergic disease (asthma, hay fever and/or eczema) (age of onset)",rs4795400,chr17:39910767,"C=0.533, T=0.467",0.8314388823792785,0.9913343095873892,0.541,0.05,0.042-0.058,5.9999999999999997e-33,
98,rs2290400,Asthma,rs4795401,chr17:39911280,"A=0.499, G=0.501",0.968687749003984,1.0,0.510614794713003,0.1025535,0.09-0.115,1e-55,
99,rs2290400,JT interval,rs4795401,chr17:39911280,"A=0.499, G=0.501",0.968687749003984,1.0,0.5156,0.0215,0.016-0.027,3e-13,
100,rs2290400,Asthma and cardiovascular disease,rs869402,chr17:39911790,"C=0.484, T=0.516",0.9107664335559492,0.9677233059548256,NR,,,7e-42,
101,rs2290400,Asthma,rs869402,chr17:39911790,"C=0.484, T=0.516",0.9107664335559492,0.9677233059548256,NR,0.111541,0.086-0.137,7.000000000000001e-18,
102,rs2290400,Asthma or allergic disease (pleiotropy),rs869402,chr17:39911790,"C=0.484, T=0.516",0.9107664335559492,0.9677233059548256,NR,1.12,,4e-17,
103,rs2290400,Medication use (glucocorticoids),rs1011082,chr17:39912261,"C=0.483, T=0.517",0.9070238917981271,0.9676568930041152,0.483207,0.07408,0.052-0.096,3e-11,
104,rs2290400,"Medication use (adrenergics, inhalants)",rs1011082,chr17:39912261,"C=0.483, T=0.517",0.9070238917981271,0.9676568930041152,0.485127,0.082203284,0.065-0.1,7e-20,
105,rs2290400,Pediatric asthma,rs1011082,chr17:39912261,"C=0.483, T=0.517",0.9070238917981271,0.9676568930041152,NR,0.08800000000000001,0.07-0.106,1.0000000000000001e-21,
106,rs2290400,Asthma,rs1011082,chr17:39912261,"C=0.483, T=0.517",0.9070238917981271,0.9676568930041152,NR,0.0823,0.068-0.096,5e-31,
107,rs2290400,Asthma in any disease,rs1011082,chr17:39912261,"C=0.483, T=0.517",0.9070238917981271,0.9676568930041152,0.48,0.8,0.79-0.81,2e-40,
108,rs2290400,Asthma in gastrointestinal disease,rs1011082,chr17:39912261,"C=0.483, T=0.517",0.9070238917981271,0.9676568930041152,0.48,0.79,0.76-0.82,5e-10,
109,rs2290400,Medication use (glucocorticoids),rs1011082,chr17:39912261,"C=0.483, T=0.517",0.9070238917981271,0.9676568930041152,NR,0.0599,0.042-0.077,1.0000000000000001e-11,
110,rs2290400,Monocyte percentage of white cells,rs921650,chr17:39912823,"A=0.484, G=0.516",0.9107664335559492,0.9677233059548256,0.4829,0.04151507,0.035-0.049,1.9999999999999997e-31,
111,rs2290400,"Allergic disease (asthma, hay fever or eczema)",rs921650,chr17:39912823,"A=0.484, G=0.516",0.9107664335559492,0.9677233059548256,0.48,1.0590000000000002,1.05-1.07,6e-30,
112,rs2290400,"Allergic disease (asthma, hay fever and/or eczema) (age of onset)",rs921650,chr17:39912823,"A=0.484, G=0.516",0.9107664335559492,0.9677233059548256,0.507,0.046,0.038-0.054,2e-28,
113,rs2290400,Asthma and cardiovascular disease,rs7216389,chr17:39913696,"C=0.516, T=0.484",0.9107664335559492,0.9677233059548256,NR,,,2e-43,
114,rs2290400,Asthma,rs7216389,chr17:39913696,"C=0.516, T=0.484",0.9107664335559492,0.9677233059548256,0.52,1.45,1.17-1.81,9.000000000000001e-11,
115,rs2290400,Asthma (moderate or severe),rs7216558,chr17:39913818,"C=0.523, T=0.477",0.9380709886894676,0.9959065755208332,NR,1.263,1.19-1.33,2.0000000000000002e-11,
116,rs2290400,Asthma-COPD overlap syndrome,rs1031460,chr17:39915994,"G=0.499, T=0.501",0.8548251467317903,0.9393917486022748,0.504,1.117,1.085-1.151,2e-13,
117,rs2290400,Educational attainment (MTAG),rs8065777,chr17:39916149,"C=0.502, T=0.498",0.8584501600978905,0.9395117649416764,0.5036,0.0073,0.0048-0.0098,3e-08,
118,rs2290400,Self-reported allergy,rs9303280,chr17:39917778,"C=0.497, T=0.503",0.8547206020166904,0.9356067273687412,0.4805,0.0687,0.045-0.092,9e-09,
119,rs2290400,Asthma and cardiovascular disease,rs9303280,chr17:39917778,"C=0.497, T=0.503",0.8547206020166904,0.9356067273687412,NR,,,2e-39,
120,rs2290400,Asthma and cardiovascular disease,rs9303281,chr17:39917793,"A=0.476, G=0.524",0.9343243267677864,0.995898029749478,NR,,,2e-43,
121,rs2290400,Childhood asthma with severe exacerbations,rs7219923,chr17:39918265,"C=0.523, T=0.477",0.9380709886894676,0.9959065755208332,NR,1.65,1.56-1.75,1.9999999999999997e-68,
122,rs2290400,Asthma and cardiovascular disease,rs7219923,chr17:39918265,"C=0.523, T=0.477",0.9380709886894676,0.9959065755208332,NR,,,2e-43,
123,rs2290400,Asthma (childhood onset),rs7224129,chr17:39919173,"A=0.477, G=0.523",0.9380709886894676,0.9959065755208332,NR,1.9040000000000001,1.535-2.36,4e-09,
124,rs2290400,Asthma and cardiovascular disease,rs7224129,chr17:39919173,"A=0.477, G=0.523",0.9380709886894676,0.9959065755208332,NR,,,2e-43,
125,rs2290400,Gamma glutamyl transpeptidase,rs4065275,chr17:39924612,"A=0.504, G=0.496",0.8510058173126231,0.9317170942832732,NR,0.0122,0.0085-0.0159,3e-10,
126,rs2290400,QRS duration,rs4065275,chr17:39924612,"A=0.504, G=0.496",0.8510058173126231,0.9317170942832732,0.4819,0.0167,0.011-0.023,2e-08,
127,rs2290400,Asthma and cardiovascular disease,rs12603332,chr17:39926554,"C=0.495, T=0.505",0.8473057191087824,0.9278427747138897,NR,,,1e-38,
128,rs2290400,Cervical cancer,rs12603332,chr17:39926554,"C=0.495, T=0.505",0.8473057191087824,0.9278427747138897,0.49,0.9,0.88-0.93,2e-10,
129,rs2290400,Cervical cancer,rs12603332,chr17:39926554,"C=0.495, T=0.505",0.8473057191087824,0.9278427747138897,NR,,,1e-09,
130,rs35029472,Visuospatial ability,rs4728722,chr7:76422774,"A=0.44, G=0.56",0.9641603219026356,0.9959017061287012,NR,0.14,0.081-0.199,3e-06,
131,rs2226163,CD39 on CD39+ activated CD4 regulatory T cell,rs4918960,chr10:95712813,"A=0.47, T=0.53",0.8865907445664604,0.9916100595885928,0.48399,1.054,1.02-1.09,0.0,
132,rs2226163,CD4 on CD39+ secreting CD4 regulatory T cell,rs10882655,chr10:95714614,"A=0.49, G=0.51",0.9607643972169176,0.9919504222827674,0.52765,0.2945,0.24-0.35,8e-28,
133,rs2226163,CD39 on CD39+ secreting CD4 regulatory T cell,rs10882655,chr10:95714614,"A=0.49, G=0.51",0.9607643972169176,0.9919504222827674,0.52765,1.0090000000000001,0.97-1.05,0.0,
134,rs2226163,CD39 on CD39+ CD4+ T cell,rs10882655,chr10:95714614,"A=0.49, G=0.51",0.9607643972169176,0.9919504222827674,0.52765,0.9837,0.94-1.03,0.0,
135,rs2226163,CD4 on CD39+ CD4+ T cell,rs7086986,chr10:95747555,"A=0.49, G=0.51",0.9607643972169176,0.9919504222827674,0.47263,0.4907,0.44-0.54,5.9999999999999986e-74,
136,rs2226163,CD28 on CD39+ CD4+ T cell,rs1539433,chr10:95759888,"C=0.489, T=0.511",0.9569186180476084,0.991934061352448,0.47171,0.5445,0.49-0.59,5e-95,
137,rs2226163,CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell,rs5014871,chr10:95763038,"A=0.49, G=0.51",0.9607643972169176,0.9919504222827674,0.46845,0.5063,0.42-0.59,9.999999999999999e-33,
138,rs2226163,Platelet count,rs4551688,chr10:95764023,"A=0.49, G=0.51",0.9607643972169176,0.9919504222827674,0.510304,,,1e-17,
139,rs2226163,Platelet count,rs4551688,chr10:95764023,"A=0.49, G=0.51",0.9607643972169176,0.9919504222827674,0.549773,0.016199,0.013-0.02,1e-18,
140,rs2226163,CD25 on CD39+ CD4 regulatory T cell,rs6584030,chr10:95806295,"C=0.51, G=0.49",0.9607643972169176,0.9919504222827674,0.46733,0.23800000000000002,0.19-0.29,2.0000000000000002e-21,
141,rs2226163,CD25 on CD39+ activated CD4 regulatory T cell,rs6584030,chr10:95806295,"C=0.51, G=0.49",0.9607643972169176,0.9919504222827674,0.46734,0.2344,0.19-0.28,1.0000000000000001e-20,
142,rs2226163,CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell,rs10736092,chr10:95810558,"A=0.489, G=0.511",0.9647156459500312,0.995967030676224,0.46907,0.9153,0.88-0.96,0.0,
143,rs2226163,CD39+ CD4+ T cell %T cell,rs10736092,chr10:95810558,"A=0.489, G=0.511",0.9647156459500312,0.995967030676224,0.46895,1.014,0.98-1.05,0.0,
144,rs2226163,CD39+ CD4+ T cell %CD4+ T cell,rs10736092,chr10:95810558,"A=0.489, G=0.511",0.9647156459500312,0.995967030676224,0.46895,1.023,0.99-1.06,0.0,
145,rs2226163,CD39+ CD8+ T cell %T cell,rs10736092,chr10:95810558,"A=0.489, G=0.511",0.9647156459500312,0.995967030676224,0.46895,1.01,0.97-1.05,0.0,
146,rs2226163,CD25 on CD39+ CD4+ T cell,rs4075310,chr10:95814932,"C=0.488, T=0.512",0.9608695660455251,0.9959588168894138,0.47328,0.7175,0.67-0.76,7.999999999999998e-170,
147,rs2226163,CD39+ CD8+ T cell %CD8+ T cell,rs4917715,chr10:95832540,"C=0.488, G=0.512",0.9686829970620854,1.0,0.46906,1.002,0.96-1.04,0.0,
148,rs2226163,CD28 on CD39+ secreting CD4 regulatory T cell,rs10748649,chr10:95841946,"A=0.488, C=0.512",0.9686829970620854,1.0,0.47329,0.4156,0.37-0.47,1e-56,
149,rs2226163,CD39+ CD8+ T cell Absolute Count,rs10748649,chr10:95841946,"A=0.488, C=0.512",0.9686829970620854,1.0,0.46904,1.01,0.97-1.05,0.0,
150,rs2226163,CD39+ activated CD4 regulatory T cell Absolute Count,rs7088584,chr10:95847887,"G=0.488, T=0.512",0.9686829970620854,1.0,0.46852,0.8768,0.84-0.92,3.9999999999999975e-304,
151,rs2226163,CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell,rs7088584,chr10:95847887,"G=0.488, T=0.512",0.9686829970620854,1.0,0.46867,1.016,0.98-1.05,0.0,
152,rs2226163,CD39+ CD4+ T cell Absolute Count,rs7088584,chr10:95847887,"G=0.488, T=0.512",0.9686829970620854,1.0,0.4684,1.016,0.98-1.05,0.0,
153,rs2226163,CD39 on CD39+ CD8+ T cell,rs7088961,chr10:95848357,"C=0.488, G=0.512",0.9686829970620854,1.0,0.47293,0.502,0.45-0.55,4e-82,
154,rs2226163,CD28 on CD39+ CD8+ T cell,rs7088961,chr10:95848357,"C=0.488, G=0.512",0.9686829970620854,1.0,0.47309,0.2341,0.18-0.29,2e-18,
155,rs2226163,CD28 on CD39+ activated CD4 regulatory T cell,rs9702308,chr10:95853495,"G=0.488, T=0.512",0.9686829970620854,1.0,0.46841,0.2511,0.2-0.3,7.999999999999999e-22,
156,rs10771920,Killer cell lectin-like receptor subfamily B member 1 levels,rs4763630,chr12:9588904,"A=0.58, G=0.42",0.9797635873804984,0.9958995679465232,0.59,0.313,0.29-0.34,2.999999999999999e-125,
157,rs10771920,Serum levels of protein KLRB1,rs10771925,chr12:9600134,"C=0.405, T=0.595",0.9172262346405587,0.9957383716004404,0.3696,0.20432899999999998,0.17-0.24,8e-27,
158,rs1872691,Medication use (thyroid preparations),rs1872691,chr16:50316299,"A=0.183, G=0.817",1.0,1.0,0.181059,0.07366563,0.05-0.097,5e-10,
159,rs1872691,Medication use (thyroid preparations),rs7195228,chr16:50319618,"C=0.812, G=0.188",0.9547157673606816,0.9933079665797456,NR,0.0696,0.047-0.093,3e-09,
160,rs56143595,Drink temperature,rs56143595,chr2:52520692,"G=0.677, T=0.323",1.0,1.0,0.701983,0.015923,0.011-0.02,4e-12,
161,rs56143595,Height,rs12622811,chr2:52560811,"C=0.676, T=0.324",0.9774254632472328,0.9908959276018101,0.3086,0.0039,0.0025-0.0053,2e-08,
162,rs62360054,Height,rs10940993,chr5:32019895,"A=0.383, G=0.617",0.8316471935113097,0.9865540977033258,0.5789,0.0064,0.0052-0.0076,4e-23,
163,rs10783337,Systolic blood pressure,rs10735823,chr12:50122965,"C=0.25, T=0.75",0.9434445109757196,0.9893117443318248,NR,0.015,0.011-0.019,1.0000000000000001e-11,
164,rs2038255,Bipolar disorder lithium response (continuous) or schizophrenia,rs79403677,chr14:35069925,"G=0.158, T=0.842",0.9038838198060478,1.0,NR,,,2e-08,
165,rs2038255,Lymphocyte count,rs2038255,chr14:35089920,"C=0.828, T=0.172",1.0,1.0,0.1896,0.03343626,0.024-0.043,8e-13,
166,rs2038255,Atopic dermatitis,rs2143950,chr14:35103151,"C=0.838, T=0.162",0.931019823229726,1.0,0.17,1.08,1.06-1.10,1.9999999999999998e-15,
167,rs2038255,Atopic dermatitis,rs2143950,chr14:35103151,"C=0.838, T=0.162",0.931019823229726,1.0,0.17,,,9e-10,
168,rs2038255,Lymphocyte count,rs57075379,chr14:35108595,"A=0.838, G=0.162",0.931019823229726,1.0,0.166991,0.027978797000000003,0.022-0.034,9.000000000000001e-21,
169,rs2038255,Schizophrenia,rs11156875,chr14:35150610,"A=0.838, G=0.162",0.9036321848943129,0.9851818027824628,NR,1.07,,3e-07,
